Name,Affiliation,h-index,i10-index,Citations
Sagnika Sahoo,"Assistant Professor, Bijoy Krishna Girls College, Howrah, West Bengal",1,0,1
Binayak Dutta,"Christ University, Bangalore, Tezpur University, Indian Statistical Institute",1,0,4
biswarup chatterjee,Bharatiya Vidyabhavan Institute of Management Science Kolkata,0,0,0
Debabrata Sarddar,"Dept of CSE, University of Kalyani",16,44,1233
Devi Prasad Mohapatra,JIPMER,12,16,939
DEBJANI DAS,VIDYASAGAR UNIVERSITY,1,1,13
Dr. Deepak Kalra,Skyline University College,10,10,411
Deepshikha Singh,"PhD Scholar, IIT Gandhinagar",2,1,91
Devang Mehta,"Assistant Professor, KU Leuven",15,20,958
Divya Teja Vavilala,"Expression Technologies Scientist, DNA2.0",9,9,266
Ishita Mathur,Guru Gobind Singh Indraprastha University,3,1,23
Paruchuri Gangadhar Rao,CSIR,31,55,3077
Dr. Hardik Bhatt,"Institute of Pharmacy, Nirma University",21,33,1342
Harikrishnan S. Nair,"Associate Professor, Department of Physics, University of Texas at El Paso, USA",23,53,1855
indranil dasgupta,"INSA Senior Scientist, University of Delhi south Campus, New Delhi",31,62,3432
Jagdish Arora,"Advisor, National Board of Accreditation, New Delhi",15,28,817
Jayesh Jain,Baker Hughes,20,29,1182
Jincy Thomas,Assistant Professor,2,0,10
Dr Jitendra Agrawal,Director School of Information Technology RGPV Bhopal,16,26,1845
John S. McCaskill,"Professor, Chemnitz University of Technology, MAIN",33,77,7117
Joydip Saha,"Assistant Professor at Barasat College, West Bengal",6,2,80
Jubin Jose,Qualcomm Inc,21,53,3699
Jyoti Prakash Singh,"Associate Professor, National Institute of Technology Patna",32,94,5264
Kapil Gupta,"Professor, Department of Biochemistry, Adesh Institute of Medical Sciences & Research",32,98,4724
Koushik Chatterjee,"Postdoc Fellow, University of Maryland",40,55,17620
Kaushiki Banerjee,"Assistant Professor of Economics, Barasat Government College, India",1,0,2
Kavi Arya,"Professor of Computer Science and Engineering, IIT Bombay",16,24,869
Kushal Roy,"Assistant Professor, Khulna University",14,19,1155
Dr. Kirti Wanjale,"Associate Professor,Vishwakarma Institute of Information Technology",10,10,467
Krishanu Roy,"Senior Lecturer at University of Waikato, previously Lecturer at University of Auckland",43,121,5492
Kuldeep S. Meel,"Associate Professor, University of Toronto",32,65,3583
Kunal Ghosh,Aalto University,4,4,391
kusum lata Singh,research scholar of statistics,30,99,5837
Lalit Kumar sah,"Research scholar, department of English, BHU",97,843,48213
Manasi Karkare,"Associate Professor, SIES Graduate School of Technology",4,4,217
Manish Jain,Malaviya National Institute of Technology,60,313,17944
Dr. Manish Khanna,"Professor and HOD of Orthopedics, Prasad Institute of Medical Sciences,",14,22,536
Manoj Dixit,Dayalbagh Educational Institute,7,7,221
manoj kumar singh,Assistant Professor at Graphic Era Hill University,52,367,15463
Dr. E. Maruthi Prasad,"CMU, Taichung City, Taiwan",10,10,503
MAYANK GUPTA,PROFESSOR OF CIVIL,58,323,16770
Mehul Dave,N. V. Patel College of Pure & Applied Science,6,3,90
Michael J. Frisch,"Gaussian, Inc.",128,373,328747
Michael A. Huston,"Department of Biology, Texas State University, San Marcos, TX",46,70,32111
Mukesh K Pandey,"Professor of Radiology, Department of Radiology, Mayo Clinic College of Medicine, Rochester",28,55,3143
MUNESH PAL SINGH,Professor of transport engineering,50,304,13638
"Naresh M. Punjabi, MD. PhD",Professor Medicine with Tenure,83,183,37243
"Nilanjan Chatterjee, Bloomberg Distinguished Professor",Johns Hopkins University,110,351,51775
Nilanjana Karmakar,"Asst. Prof., Department of IT, St. Thomas' College of Engineering and Technology, Kolkata, India",5,3,53
Ningombam Bupenda Meitei,"Department of Philosophy , University of Delhi",0,0,0
"Nitin Agarwal, M.D.",University of Pittsburgh School of Medicine,41,167,6386
Nitish Shirish Keskar,OpenAI,32,47,23703
Prof. Dhrubajyoti Chattopadhyay,"Vice Chancellor,Sister Nivedita University Kolkata",40,83,4524
Pankaj Gupta,Professor of Commerce,78,726,38474
Panagiotis Patrinos,"Associate Professor, KU Leuven",38,89,5346
Parthajit Roy,"Associate Professor, Civil Engineering, NIT Silchar",10,11,296 
Parul Pandey,"Machine Learning Engineer, Intel Corporation",13,13,3537
Pawan Kumar Netrakanti,BARC,161,753,96209
Pittu Pavan Sai Kiran Reddy,Vel Tech Rangarajan Dr.Sagunthala R&D Institute of Science and Technology,2,0,11
PRAVEEN KUMAR,"assistant professor of commerce, the madura college",85,564,38519
Praveen Hoogar,"Medical Anthropologist, Assistant Professor, and Assistant Director, The Apollo University",26,30,64147
Preeti Ranjan Panda,"Professor in Computer Science and Engineering, Indian Institute of Technology Delhi",27,65,4409
Radhika Gupta,Johns Hopkins University,19,47,1700
Rahul Kumar,California Institute of Technology,89,158,57421
Rahul Vaze,"Associate Professor, Electrical Engineering, Tata Institute of Fundamental Research, Mumbai, India.",24,45,2703
Raj Kamal Singh,PhD,31,112,6044
Rajan Jha,"Professor of Physics, Indian Institute of Technology Bhubaneswar",47,111,8339
Rajarshi Tiwari,Research Fellow,7,7,237
"Rajesh Anand, Ph.D.","Infectious Disease Laboratory, National Institute of Immunology, New Delhi, India",11,11,445
Rajesh Sundaresan,"ECE and Centre for Cyber-Physical Systems, Indian Institute of Science",26,52,2055
Rajib Shaw,"Professor, Keio University",75,385,27542
Ramjee Gupta,IT Developer (Software engineer ),22,77,2747
M.S. Ravi Sharma,University of Rhode Island,58,404,18090
Ravinder Kumar,"Ravinder Kumar rivravinder | Digital Marketing, Search engine optimization,  Himachal Pradesh, India",79,490,45942
Dr. Barna Pal Mazumdar,"Asst.Prof. of Chemistry at Bhilai Mahila Mahavidyalaya, pt. Ravishankar Shukla University",20,33,978
Rekha R Rapaka MD PhD,"Assistant Professor of Medicine, Center for Vaccine Development and Global Health, U. of Maryland",15,17,15744
Rohan M. Shah,Swinburne University of Technology,21,34,1911
"Rohit Srivastava, FNASc, FNAE, FAMS","Vigyan Shri 2024, SSB Prize 2021 and Himanshu Patel Chair Professor of Department BSBE",50,223,10138
Sagnik Dey,IIT Delhi,55,141,15146
Salil Kumar Sanyal,"Professor of Electronics & Telecommunication Engineering, Jadavpur University",20,55,1580
SAMRAT GHOSH,Research Scholar of University of Kalyani,51,248,11296
Dr. Sandeep Joshi,"Senior Scientific Officer, MGIRI, Ministry of MSME Govt. of India",15,21,1245
Santanu Chaudhury,IIT Delhi,38,154,6856
Santosh Kumar Divvala,"AI2, UW",29,84,64887
Saswati Banerjee,Csir iicb,5,5,269
SATYAM MISHRA,"Vietnam National University, Hanoi",4,3,69
Satyendra Singh Yadav,"Assistant Professor, NIT Meghalaya, India",9,9,259
Sayan Deb Dutta,"Ph.D., University of California Davis",27,57,2634
Shashank Priya,"Chemical Engineering and Materials Science, University of Minnesota",93,484,40814
Shivani Agrawal,Google,10,10,9586
Shradha Basi Chipalu,Asst. prof.,4,3,322
Siddarth Srinivasan,Apple,15,16,2310
Siddhant Garg,Meta,10,12,1261
Siddharth Garg,"Institute Associate Professor, New York University",43,107,10444
Dr. Siddhartha Bhattacharyya,"VSB Technical University of Ostrava, Czech Republic",37,121,5644
Dr Sneha Gautam (World's Top 2% Scientist),"Associate Professor; Karunya University, India II NCTU Taiwan  II IIT KGP",40,99,5583
Snigdha Chaturvedi,"Associate Professor, University of North Carolina, Chapel Hill",23,38,2297
somayeh danesh asgari,"Ph. D. in Industrial Engineering, Iran University of Science & Technolology",3,1,39
Soumyadip Chattopadhyay,Associate Professor Visva Bharati,11,12,349
"Sourav Banerjee, Ph.D.","Professor, Department of Mechanical Engineering, University of South Carolina",28,66,2910
Sourav Sanyal,PhD Candidate @Purdue ECE,5,2,64
Karthik Srinivas Venkataraman,"Module Development Engineer, Intel Corporation | PhD, The Pennsylvania State University",3,1,40
Deepak Srivastava,Gladstone Institutes,106,209,105589
Subhadeep Chatterjee,Centre for DNA Fingerprinting and Diagnostics,22,28,2356
Subhasree basu,Post-doctoral Fellow,14,16,1377
Subhra Prakash Hui,"Assistant Professor, S. N. Pradhan Centre for Neurosciences, University of Calcutta",11,12,1046
Suchismita Chinara,National Institute of Technology Rourkela,15,20,932
Sudhir Krishna,"National Centre for Biological Sciences, TIFR",29,50,4490
Sudhir Ranjan Pattanaik,NIST  University,5,5,150
Sudip Chattopadhyay,"professor of Department of Biotechnology, NIT-Durgapur",27,37,3628
Sugata Sanyal,"Professor (Retired), Tata Institute of Fundamental Research",35,69,3982
Sunita Sarkar,"Associate Professor, CSE, Assam University Silchar",10,10,408
Seyed-Mohammad Fereshtehnejad,"Neurologist, Movement Disorders Clinical Fellow, Toronto Western Hospital, University of Toronto",79,226,140983
Carla Teresa Fernandez Cuadros,UCSD,47,180,183885
Udayan Roy,"Professor of Economics, Long Island University",7,6,216
Umesh Kumar Tiwari,"Central Scientific Instruments Organisation(CSIO), Sector 30, Chandigarh",27,49,2643
Vaibhav Kulkarni,Data Engineering Lead @ Debiopharm,10,10,283
Dr. Omkar Suresh Vaidya,"Sandip Institute of Technology and Research Centre, Nashik (Affiliated to Savitribai Phule Pune",9,9,157
Srinivasan Vinju Vasudevan Ph.D,"Post Doctoral Researcher -Konkuk University, Seoul, South Korea",12,12,394
Vipul Jain,"Reader/Associate Professor at Wellington School of Business and Government, Victoria University of",41,105,8487
Vivek Kaushik,University of Illinois Urbana-Champaign,1,0,8
Weilin Zhang,Institute of Tibetan Plateau Research,36,72,4111
Xiaoli Ding,Hong Kong Polytechnic University,61,289,13661
Yogesh Gupta,"Associate Professor, University of Texas Health Science Center at San Antonio, TX, USA",24,31,2134
yujun zheng,Hangzhou Normal University,34,74,4529
Matthew Zack Anderson,"Associate Professor of Microbiology, Associate Professor of Microbial Immunity and Infection",23,33,2377
Abhijit Biswas,Distinguished Professor; Kmart Endowed Chair Professor; Department Chair; Wayne State University,41,53,8455
Anurag Garg,"Indian Institute of Technology Bombay, India",30,58,2978
Asok Kumar Ghosh,"Professor, Department of Sports Science, Ramakrishna Mission Vivekananda University, Belur Math",19,28,1389
Abhijit Chakrabarti,"Professor, Ramakrishna Mission Vivekananda Educational & Research Institute , INDIA",29,76,2278
Manoj Kumar Sahu,"Associate Professor, Department of Electrical Engineering, Centre for Advanced Post Graduate Studies, Biju Patnaik University of Technology, Odisha, Rourkela-769015, India",6,6,152
CHANDAN KUMAR SWAIN,"PhD Research Scholar, Dept. of Analytical and Applied Economics, Utkal University",13,14,3486
Debashis Ghosh,"Professor, Colorado School of Public Health",71,195,37301
Ganesh Prasad Das,"Professor of Philosophy, Utkal University (Retd.)",1,0,2
Gautam Das,"Distinguished University Chair Professor, Associate Dean,  University of Texas at Arlington",66,322,21748
Dr. Indranil Chakraborty,"Department of Chemistry, Kharagpur College",21,21,4133
Jayant Kumar Mohanta,"Assistant Professor, Department of Mechanical Engineering, IIT Jodhpur",7,5,270
Dr. Jitendra Kumar Rout,"Asst. Prof.(NIT Raipur), PhD(NIT Rourkela), MTech(NIT Rourkela), BE(UCE Burla)",15,19,1001
Kamalakanta Mahapatra,"PROFESSOR, NIT Rourkela",30,110,3570
Dr Karunakar Jha,Professor Management /Commerce & Director Corporate Affairs -Alumni Relations,5,5,77
Gopal Krishna Sahu,Pt. J. N. M. Medical College,9,9,395
Krushna Chandra Patra,University of Cincinnati,16,18,4126
Kunal Pal,National Institute of Technology Rourkela,56,193,11305
Manas Kumar Das,Head & Principal Scientist,18,31,962
Manas Kumar Ghosh,Harvard University,6,3,134
Manoj Kumar Gupta,"Joslin Diabetes Center, Harvard Medical School",68,412,23008
Dr Manoj Kumar Jena,"Lovely Professional University, Phagwara, Punjab",22,33,1898
Manoj Kumar Pradhan,Professor of Mechanical Engineering,30,125,6103
Manoj Kumar Rout,"Asst. Professor, BIITM, Bhubaneswar",1,0,3
Manoranjan Misra,University of Utah,63,206,14015
Dr. Bhoopendra Kumar Verma,"Mohan Lal Sukhadia University, Udaipur Rajasthan (India)",6,3,184
Gagan Mohanty,"Professor, Department of High Energy Physics, Tata Institute of Fundamental Research",236,1384,270068
Dr. Nitesh S. Litoriya,"Assistant Research Scientist, Anand Agricultural University, Anand, Gujarat",8,7,193
Pallab Dasgupta,Indian Institute of Technology Kharagpur,21,68,2097
Dr. Pankaj Kumar Mohanty,"Associate Professor, Department of Neonatology, AIIMS, Bhubaneswar",8,7,236
Parthasarathi Bandyopadhyay,"Post-Doctoral Researcher at Chungbuk National University, South Korea",26,42,1859
Dr Prakash Kumar Sahoo,Regional Medical Research Centre Bhubaneswar,18,24,996
Pramod Kumar Das,Reader in Chemistry,5,4,102
Prasanta Kumar Mohanty,Christ University,7,3,200
Scientia Prof. Gangadhara Prusty,"Director of Research, Australian Composites Manufacturing CRC        & Director, ARC Centre for AMAC",40,138,6177
Rabindra Kumar Mohanty,Mizoram university,3,1,40
rajkumar Misra,"DST Inspire Faculty, NIPER Mohali",14,18,435
Ramesh Chandra Sahoo,"Research Scholar, Centre for Nano and Soft Matter Sciences",7,5,189
Dr. Ranjit Kumar Panda,Lecturer in physics,11,13,628
C. N. R. Rao,Professor of Chemistry,163,1209,121169
Satish K. Tripathi,Unniversity at Buffalo,45,132,10581
Shailendra Kumar Verma,La Jolla Institute for Immunology,16,20,892
Samiran Panda,ICMR-Dr AS Paintal Distinguished Scientist Chair,42,110,9524
Sandeep Kumar Jha,"Professor, Centre for Biomedical Engineering, Indian Institute of Technology Delhi, India",24,38,2439
Dr. Sanjay Kumar Nayak,Professor of Psychology,3,2,54
Santosh Kumar Behera,"Scientist, NIPER-Ahmedabad,Gandhinagar",15,21,1134
Saranjit Singh,Department of Pharmaceutical Analysis,64,306,18433
Saswati Mishra,"Assistant professor, Malla Reddy University",5,4,522
Dr. M CHANDRA SHEKHAR NAYAK,"CSIR - Advanced Materials and Processes Research Institute (AMPRI), Bhopal, MP, IND",6,4,313
Dr Aparna. S Khursel,"Head & Assistant Professor, Department of Botany, Shankarlal Agrawal Science College Salekasa",1,0,2
Shashank Gupta,"Associate Professor, Birla Institute of Technology and Science, Pilani, Rajasthan, India",26,47,2562
siba sankar mahapatra,National Institute of Technology,68,290,18991
Sourav Das,university of Wisconsin madison,73,428,25866
Subhamoy Ganguly,University of Auckland Business School,5,4,125
Subhrajyoti Das,ICSSR Doctoral Fellow,1,0,2
Subrata Chowdhury,Associate Professor Department of CSE,19,30,1651
Sudarsan Ghosh,"Department of Mechanical Engineering, Indian Institute of Technology Delhi",34,66,4091
Dr Sudarsan Sahu,Central Ground Water Board,11,11,473
Dr. Supriya Devi,Associate Professor in Department of Pure and Applied Mathematics,7,4,174
Swaroop Ganguly,IIT Bombay,19,53,2215
Dr. Tushar Kanti Roy,"School of Engineering, Macquarie University, Australia",28,96,3124
Upendra Kumar Singh,"Professor of Mining Engineering, Indian School of Mines Dhanbad",28,73,3796
Utpal Kumar De,"Professor of Economics, North-Eastern Hill University, Shillong",16,30,1137
Vasudha Aggarwal,"Johns Hopkins University, University of Illinois Urbana Champaign",10,10,603
Vikas Choudhary,Banaras Hindu University,18,24,1380
Vinod Kumar Dhiman,"Vice President, GAVS Technologies",3,0,23
Prof. Yogendra Kumar Jain,"Director, Samrat Ashok Technological Institute Vidisha",17,29,1324
Amitava Gupta,"Professor, Department of Power Engineering, Jadavpur University, Kolkata, India",23,43,2414
Pankaj Jalote,IIIT-Delhi,34,80,5938
Sukanta kumar patra,English,13,18,577
Soumen Chakrabarti,IIT Bombay,62,138,23633
Sourav Mukhopadhyay,"Professor, Indian Institute of Technolgy Kharagpur",28,76,3429
"Suman Kundu, Ph.D","Department of Biological Sciences, BITS Pilani, K.K. Birla Goa Campus and Department of Biochemistry",28,56,2990
Abhijit Das Sharma,CSIR-Central Glass & Ceramic Research Institute,23,34,1480
ABHINAV KUMAR,Researcher & Entrepreneur,18,60,12389
Amandeep Singh,Head of the Department,56,383,15671
amar kumar,Physics,68,302,25619
Anil K Sharma,AICTE,57,263,16219
Dr Anish Khanna,"King George's Medical University, Lucknow",9,9,614
Dr. Anuj Kumar,"Chaudhary Charan Singh University, Meerut",43,175,7482
Ayesha Zia,Associate Professor of Pediatrics,20,33,1760
Mr. Rahul Gupta,"Assistant professor (Finance) Bharati vidyapeeth (Deemed to be university),  pune",37,130,17648
Prof. (Dr.) Bhupesh Sharma,"Professor, Department of Pharmaceutical Sciences, Faculty of Life Sciences, Gurugram University",35,55,3001
BRAJESH KUMAR,Student of Agra college,58,192,21309
Dr. Brij Mohan Singh,College of Engineering Roorkee,29,111,4616
Dibakar Roy Chowdhury,Professor,36,69,6236
Dr. Dinesh Prasad,"Professor, Department of Electronics and Communication Engg, Jamia Millia Islamia",21,36,1641
divya sharma,student,37,127,5618
Durgesh Kumar Tripathi,"Crop Nano Biology and Molecular Stress Physiology Lab, Amity University Uttar Pradesh, Noida-India",60,145,13680
Gajendra Sharma,Kathmandu University,20,31,1722
Gaurav Goyal,"Assistant Professor, University of Alabama at Birmingham",29,67,3478
Gaurav Gupta,Netaji Subhas Institute Of Technology,97,863,55301
Gaurav Sharma,University of Rochester,74,814,40885
Goutam Rath,"Professor, Siksha O Anusandhan (Deemed to be University), Bhubaneswar, Odisha",58,137,10489
Dr. Gurdip Singh,Professor,66,398,20591
Hitesh Kumar Sharma,"Professor & HoD (Cluster Head), School of Computer Science, UPES, Dehradun",24,57,2127
Jai Singh,Professor of Physics and Math,64,433,20453
Jainendra Jain,"Professor of Pharmacy, Ram-Eesh Institute of Vocational and Technical Education",16,27,912
Jayant  K. Singh,"Chair Professor, Chemical Engineering, Indian Institute of Technology",42,142,6650
Prof. (Dr.) Jayeshkumar Pitroda,"Professor of Civil Engineering Department, BVM Engineering College",27,58,2549
Jitendra Kumar,Engineer at Coforge,83,778,35780
Juan Jose Hernandez Rey,"IFIC - Instituto de Física Corpuscular (CSIC and UV), Spain",182,934,207158
"Professor Dr. Jyoti Prakash Tamang FNA, FNASc, FNAAS","Senior Professor, Department of Microbiology, Sikkim University",55,125,10520
Kamaljit Singh,"Professor of Chemistry, Guru Nanak Dev University, Amritsar, India",40,108,6126
Kartar Singh Dhiman,Director General,16,33,1533
Dr. Khushbu Gupta,Amity University Haryana,6,5,507
Kuldeep Singh,"Assistant professor, Zucker School of Medicine, Staten Island University Hospital",55,347,17381
ABHINAV KUMAR,Researcher & Entrepreneur,18,60,12389
Lalit Gupta,"Professor of Electrical & Computer Engineering, Southern Illinois University, Carbondale",21,44,2072
Manpreet Singh,Student,66,472,23734
Dr. Meghna Sharma,"Assistant Professor, National Institute of Technology Hamirpur",14,14,889
Dr. Monika Bansal,Assisant Professor,6,5,814
Dr. Namrata Gangil,"Ajay Kumar Garg Engineering College, Ghaziabad, Uttar Pradesh, India",13,17,890
Naresh Kumar Sharma,"Banker, Core Banking, Credit Analyst",28,94,3676
narendra singh,"Department of Chemistry, M.J.P. Rohilkhand University, Bareilly 243006, Uttar Pradesh, India",113,758,70826
Naveen Kumar,Presidency University,91,901,46988
Navjot Singh,Research Scholar,55,297,15431
Neha Sharma,PhD scholar @ Sharda University,26,138,6253
Nisha Singh,University of Oxford,18,27,9090
Nitin Kumar,SKC School & Jr. College,77,381,25636
Pawan Kumar Netrakanti,BARC,161,754,96255
Prasanna Kumar Sahu,"Professor of Electrical Engineering, National Institute of Technology, Rourkela",25,81,2568
Priyanka Gupta,Assistant professor,58,383,17666
priyanka singh,Professor,99,752,48102
Puneeth kumar b c,student,57,282,12904
Rajendra P Bajpai,"Professor SAIF,North Eastern Hill University, Shillong",16,19,748
"Prof (Dr) Raghavendra Sharma, Professor & HoD",Amity University Madhya Pradesh Gwalior,24,95,3541
Dr. Rajeev sharma,"Professor, Humanities, LNCT",78,398,30174
Rashmi sharma,Senior consultant Dermatologist,56,311,14790
Ravinder Kumar,"Ravinder Kumar rivravinder | Digital Marketing, Search engine optimization,  Himachal Pradesh, India",79,490,45985
Rohit Sharma,Student of poornima university,80,555,38462
Ruchi Goel,"Maulana Azad medical College, New Delhi",21,45,3188
sakshi garg,"Assistant Professor, KIET School of Pharmacy",4,3,130
sameer sharma,"Associate Professor of Mathematics, D. A. V. College, Jalandhar, Punjab, India",40,152,8719
Sandeep Singh,Msc scholar,85,873,39568
Dr. Sanjay K Banerjee,"Professor, National Institute of Pharmaceutical Education and Research (NIPER), Guwahati, India",47,106,9120
Sarabjeet Singh,"Assistant Professor of Radiology, Harvard Medical School",53,238,13928
sarabjot singh,"Professor of Electrical Engineering, Punjab Technical University, Jalandhar, India",42,168,7697
Dr. Sarita  Singh,"Associate Professor in department of Conservative denristry and Endodontics, BVUDCH, pune     in",39,212,8598
Saurabh Sharma,Tata Consultancy Services Limited,53,282,15044
Mahinder Singh,"H P University, Summer Hill, Shimla, ARSD, Delhi University, LPU Jalandhar, Govt.  College, Seema",27,85,3991
Shalini Sharma,Global Institute for Circular Economy and Sustainable Development Goals,42,148,8834\
done
Shantanu Sharma,Caltech,34,107,17282
Dr Shashank Kumar,"Assistant Professor, Central University of Punjab, Department of Biochemistry",36,77,11060
Shivani Gupta,Sinhgad College of Engineering,42,177,8039
Suvendu Das,"Research Professor, Institute of Agricultural Science & Life Science,Gyeongsang National University",27,39,2524
Siddharth Mishra-Sharma,"Anthropic, MIT",22,36,3308
Siddharth Talwar,"PhD student, UCLouvain",4,3,117
Abubakar Siddique Mustafa Hussain,"Discipline of Clinical Pharmacy, School of Pharmaceutical Sciences. Universiti Sains Malaysia.",8,7,1026
Sharma Sonu Kumar,assistant professor in computer science,16,52,3437
Sonu Singh,student,24,96,3593
Subhojit Som,"Senior Applied Scientist, Microsoft Corporation",10,10,2103
Sudesh kumar,engineer,88,303,29045
Sudhanshu Sharma,Associate Professor at IIT Gandhinagar,29,72,3735
Dr. Tabassum Khan,"Professor, Dept. of Pharm. Chem & QA, SVKM's Dr. Bhanuben Nanavati College of Pharmacy",25,44,2646
Tapas Kumar Samanta,"Associate Professor in Mathematics, Uluberia College",15,31,1964
Vaibhav Gupta,Intel Corporation,3,3,1602
Vandana Sharma,Govt. Senior Secondary  School Govt. of Rajasthan,52,308,14165
Vinod P. Sharma,"NIMR Dwarika, New Delhi-8 and CRDT, IIT Delhi-16",62,465,20373
Prof. Vivek Kumar Singh,"Professor of Social Work, Prof Rajendra Singh (Rajju Bhaiya) University,Prayagraj U.P.",79,719,35952
Adithya Cattamanchi,"Associate Professor of Medicine, University of California San Francisco",53,164,13069
Dr Aditi Awasthi,Medical student,78,217,119178
AJAY D PATEL,assistant professor in commerce,185,1021,148587
Dr. Ajitha Sharma,"Assistant Professor, Department of Pharmacology, Kanachur Institute of Medical Sciences, Mangalore, India",41,157,6767
Dr. Ambika Sharma,"Professor of English, R k Arya College, Nawanshahr, Punjab, India",44,217,10355
sonia anand,mcmaster university,124,418,170995
Anitha Vijayan,Washington University in St Louis,39,72,9817
Subini Ancy Annamma,"Associate Professor, Stanford Graduate School of Education",29,43,7500
Anusha Mishra,Oregon Health & Science University,24,32,7270
Saravanan Arunachalam,"Advanced Product Development Engineer, Spirit AeroSystems inc",54,192,11192
Ashok kumar,Sindh agriculture university tandojam,149,1551,119354
Vinod P Balachandran,Memorial Sloan Kettering Cancer Center,51,125,14778
R.S. Bhuvaneswaran,"Professor, RCC, Anna University",15,22,920
Ranjit Chandramohanan,"Graduate Student, Stony brook University",1,0,5
NATARAJAN CHANDRASEKARAN,Formerly Director & Sr. Prof Centre for Nanobiotechnology Vellore Institute of Technology/VIT,74,303,21779
Aswath Damodaran,Stern School of Business,66,158,34444
Srinivasan Dasarathy,Cleveland Clinic,79,204,39932
Dr.Devasena Anantharaman,"Rajiv Gandhi Center for Biotechnology, Trivandrum, India",29,41,3049
Devi Parikh,Previously: FAIR and GenAI @ Meta. Georgia Tech,92,193,89237
Dhamodharan,"Professor of Chemistry, Indian Institute of Technology Madras",33,77,3443
ER. Ganesh Martin,"M .TECH,BE robotics,DIP (Robotics)",66,96,63548
Gayathri.V,University of Wisconsin-Milwaukee,80,132,66116
Geetha R Menon,"HTAIn, Department of Health Research",38,72,21779
K Geetharani,Indian Institute of Science,28,33,1847
Girija S Singh,Professor of Chemistry University of Botswana,29,41,5128
Kurunthachalam Kannan,"Research Scientist, Wadsworth Center",171,968,111141
Parameswaran Ajith,International Centre for Theoretical Sciences,137,292,128782
Dr Poongothai J,PSG College of  Technology,5,2,646
K Rajasekharan Nayar,"GLOBAL INSTITUTE OF PUBLIC HEALTH and SANTHIGIRI RESEARCH FOUNDATION Thiruvananthapuram, Kerala",20,33,3534
R. RAMESH,"University of California, Berkeley",165,730,125214
R Srinivasan,texas,99,396,60480
Sujatha K,"UGC Emeritus Professor, Department of Marine Living Resources, Andhra University, Visakhapatnam",38,194,7507
Md. Abul Kalam Azad,University Putra Malayisa,70,404,23724
Dr. Aqeel Ahmad,"College of Medicine, Shaqra University, Saudi Arabia/KSA",31,48,8631
Habibur Rahman,"Professor, University of Alberta",57,378,15972
M Mahmood Hussain,NYU Long Island School of Medicine,73,188,18799
Mohammad Behshad Shafii,"Department of Mechanical Engineering, Sharif University of Technology",57,166,10376
Professor Dr M Mostafa Zaman,"Bangabandhu Sheikh Mujib Medical University (Executive Editor, BSMMU Journal)",37,69,3780
"Waseem Iqbal, PhD - SMIEEE",Associate Professor at National University of Sciences and Technology (NUST),22,37,2025
Syed Mohsin Ali Shah,Assitant Professor Abdul Wali Khan University,8,6,314
"Raisuddin Ansari, R Ansari","Machine Design Research Group,ZHCET, Mechanical Engineering department, Aligarh Muslim University",5,5,282
Sumaiya Syed,Shah Abdul Latif University,7,6,214
Dr. Mohammad Asif,"Zakir Husain Delhi College (Eve.), University of Delhi",112,996,59350
Aruna Tyagi,"Assistant professor, Electronics and Communication Engineering, Ajay Kumar Garg Engineering College",7,6,208
Ajit Kumar Dubey,Indian Institute of Technology Roorkee,9,9,198
Dr. Akhil Mohan,KTH Royal Institute of Technology Sweden,4,3,141
AMALENDU MISRA,Lancaster University,15,20,686
Anil Pahwa,"Professor of Electrical and Computer Engineering, Kansas State University",37,91,5486
Dr. Anirban Bhattacharya,"Associate Professor, Mechanical Engineering Department, Indian Institute of Technology Patna",30,60,3380
DR ANIS ROSNIZA NIZAM AKBAR,"Senior Lecturer, UiTM Shah Alam Malaysia",6,4,233
A. Anu kuttan,Noorul Islam Centre for Higher Education,2,1,52
Aravind Ashok Nair,KTH University,10,10,430
Arun  kumar m s,periodontology,54,434,17242
Aswathy V. Girija,"University of Cambridge, UK",5,3,91
A S Balu,Associate Professor,8,7,322
Bhawani Sankar Biswal,"Research Scholar, Deptt. of Computer Sc.& Engineering,IIIT Bhubaneswar",4,0,33
Jeffrey L. Bose,University of Kansas Medical Center,32,51,4320
Chellappan Gnanaseelan,Indian Institute of Tropical Meteorology,32,92,4026
Sangita C. Sinha,"Professor of Biochemistry, NDSU",25,29,17792
Chetana Revankar,Senior Scientist and Manager,14,15,5094
Deekshitha K,"Department of Civil Engineering, NMAMIT Nitte",3,0,17
Sasi Deepu,"AMMACHI Labs, Amrita Vishwa Vidyapeetham",4,1,62
Professor Dinesh Selva,University of Adelaide,72,377,19240
Divya K g,Assistant Research Officer Pharmacognosy,6,3,118
Geetha R Menon,"HTAIn, Department of Health Research",38,72,21779
GEORGE VARGHESE,"Professor of Computer Science, UCLA",92,196,42093
Gokul M. Das,Roswell Park Comprehensive Caner Center,26,32,3313
Kailash Gopalakrishnan,IBM,39,76,12751
Balaram Ghosh,"Director Grade Scientist, CSIR-IGIB, Delhi",62,158,13233
Vaidyanath Harinarayana,"Ph.D. Student, Purdue University",3,2,207
 Ranjani Harish,"Sr. Scientist Translational Research, Madras Diabetes Research Foundation, Chennai, India",30,50,3351
Aditi Sen De,Harish-Chandra Research Institute,36,109,8291
Dr.  Indu Sharma,"Associate Professor,  Nims Institute of Allied Medical Science and Technology, NIMS",16,20,892
