Institution,Name,Affiliation,h-index,i10-index,Citations
Indian Institute of Technology Hyderabad,P.Jitendra Srinivas Kumar,"Associate Professor, Akkineni Nageswara Rao College",40,213,9453
Indian Institute of Technology Hyderabad,Dr.M.Jeevanandam,Assistant Professor,5,5,668
Indian Institute of Technology Hyderabad,Kamlesh saini,Department of Chemistry University of Rajasthan Jaipur,2,2,43
Indian Institute of Technology Hyderabad,Dr. Krishan Kumar Saluja,"Professor, Information Technology, UIET, Panjab University, Chandigarh",38,101,5065
Indian Institute of Technology Hyderabad,Mukesh Ranjan,"FCIPT, Institute for Plasma Research",28,63,2266
Indian Institute of Technology Hyderabad,nizamuddin khan,"Professor of Geography, A.M.U., Aligarh, India",10,11,365
Indian Institute of Technology Hyderabad,Paritosh Pandya,"Adjunct Professor,  CSE, IIT Bombay, Former Professor and Dean, STCS, TIFR",23,50,3411
Indian Institute of Technology Hyderabad,Partha Pratim Ray,Sikkim University,38,68,10361
Indian Institute of Technology Hyderabad,Dr. Pushpak Bhattacharyya,"Professor of Computer Science and Engineering, IIT Bombay",63,409,17920
Indian Institute of Technology Hyderabad,Raghu Prakash,Indian Institute of Technology Madras,23,60,2272
Indian Institute of Technology Hyderabad,Rahul R Nair,"Professor of Materials Physics, University of Manchester, UK",51,71,47525
Indian Institute of Technology Hyderabad,Rama Govindarajan,Unknown affiliation,28,73,3179
Indian Institute of Technology Hyderabad,Ramanathan Subramanian,"Associate Professor, University of Canberra",32,61,4577
Indian Institute of Technology Hyderabad,Ramesh Loganathan,"Professor, International institute Information Technology Hyderabad (IIITH Hyderabad)",3,3,155
Indian Institute of Technology Hyderabad,Ramesh K. Sitaraman,"Distinguished University Professor, University of Massachusetts, Amherst",49,89,11295
Indian Institute of Technology Hyderabad,Ravi Anant Kishore,National Renewable Energy Laboratory,29,43,2837
Indian Institute of Technology Hyderabad,Richa Singh,"Professor, IIT Jodhpur",69,254,15416
Indian Institute of Technology Hyderabad,Rohitash Chandra,UNSW,32,80,4056
Indian Institute of Technology Hyderabad,Saikat Chakrabarti,Indian Institute of Technology Kanpur,38,107,6904
Indian Institute of Technology Hyderabad,Sanjay Chakraborty,"Postdoc Researcher at Linköping University, Sweden and Associate Professor (lien) TINT Kolkata",18,25,1632
Indian Institute of Technology Hyderabad,Shaik Jeelani,Tuskegee University,67,175,13816
Indian Institute of Technology Hyderabad,Dr. Santanu Chakraborty,"Full Professor, Radiology, Neuroradiologist, University of Ottawa",30,70,3183
Indian Institute of Technology Hyderabad,Shashi Kant Gupta,ITM University Gwalior,26,123,4767
Indian Institute of Technology Hyderabad,Shibdas Banerjee (Monon),"Associate Professor, IISER Tirupati, INDIA",22,33,3316
Indian Institute of Technology Hyderabad,Shubhajit Roy Chowdhury,"Professor, School of Computing and Electrical Engineering, IIT Mandi",22,43,1936
Indian Institute of Technology Hyderabad,Kannan Srinivasaraghavan,Principal Scientist,32,57,2962
Indian Institute of Technology Hyderabad,Sriram Ganapathi Subramanian,University of Waterloo,13,15,1111
Indian Institute of Technology Hyderabad,Sudipta Roy,Unknown affiliation,58,291,14925
Indian Institute of Technology Hyderabad,Suhas Joshi,"Professor, Dept of Mechanical Engineering, Indian Institute of Technology Bombay",49,140,8292
Indian Institute of Technology Hyderabad,Sujatha Srinivasan,Fred Hutchinson Cancer Center,34,56,5268
Indian Institute of Technology Hyderabad,Suresh Kumar,Chaudhary Devi Lal University,82,804,39547
Indian Institute of Technology Hyderabad,Tanmoy Das,Indian Institute of Science,36,84,5548
Indian Institute of Technology Hyderabad,Tapan Kr. Barman,"Professor, Mechanical Engineering Department, Jadavpur University, India",25,54,1848
Indian Institute of Technology Hyderabad,Srinivasa Vittal Katikireddi,"MRC/CSO Social and Public Health Sciences Unit, University of Glasgow",89,252,108638
Indian Institute of Technology Hyderabad,"Vinod Kumar Gupta, FWIF,FNASc, FRSC","Professor Abdulazeez University; Jedeha, Saudi Arabia;Thomson Highly Cited Researcher",202,907,141080
Indian Institute of Technology Hyderabad,Vaishnavi Sundararajan,"Assistant Professor, IIT Delhi",5,3,73
Indian Institute of Technology Hyderabad,Viswanathan Ramasamy,Research Scientist at ICGEB,8,8,418
National Institute of Technology Tiruchirappalli,John peter Arulanandam,The Rapinat Herbarium and Centre for Molecular systematics,4,2,50
National Institute of Technology Tiruchirappalli,Ramesh Narayan,"Thomas Dudley Cabot Professor of the Natural Sciences, Harvard University",149,473,86409
National Institute of Technology Tiruchirappalli,A Senthil Kumar,National University of Singapore,56,169,10060
National Institute of Technology Tiruchirappalli,Rajiv Soundararajan,Indian Institute of Science,19,29,9663
National Institute of Technology Tiruchirappalli,"Scherer, Stephen W.","The Hospital for Sick Children, Genetics and Genome Biology Program, University of Toronto",165,635,136128
National Institute of Technology Tiruchirappalli,Mas A. Subramanian (M. A. Subramanian),University Distinguished Professor & Milton Harris Chair of Materials Science,80,316,35566
National Institute of Technology Tiruchirappalli,Sumanth Theeda,The University of Texas at Dallas,3,2,45
National Institute of Technology Tiruchirappalli,Achyut Kumar Panda,"Associate Professor, Veer Surendra Sai University of Technology Burla",23,39,3957
National Institute of Technology Tiruchirappalli,Ananda Theertha Suresh,"Google Research, New York",40,72,24884
National Institute of Technology Tiruchirappalli,Mostafa A. El-Sayed,"Julius Brown Chair and Regents Professor,Department of Chemistry and Biochemistry, Georgia Tech.",146,669,162125
National Institute of Technology Tiruchirappalli,Rakesh John Amala Arokia Nathan,Johannes Kepler University,4,2,66
National Institute of Technology Tiruchirappalli,av Ramani,Associate Professor of  Computer Science,4,1,43
National Institute of Technology Tiruchirappalli,Matam Vijay-Kumar (Vijay),"Professor, The University of Toledo College of Medicine and Life Sciences",65,129,19954
National Institute of Technology Tiruchirappalli,"Vinod Kumar, Ph D","Ben Gurion University of the Negev, Israel",34,132,6505
National Institute of Technology Tiruchirappalli,Bommireddy Arya Vishnu Vardhan Reddy,Mohan Babu University,12,12,14176
National Institute of Technology Tiruchirappalli,Professor Vivek A. Sharma,"University of California, San DIego",259,1756,354193
National Institute of Technology Tiruchirappalli,Ajar Nath Yadav,"Deputy Director-IQAC, HoD, Associate Prof., Eternal University (World's Top 2% Scientists 2022-2024)",96,345,26814
National Institute of Technology Tiruchirappalli,Aarthi (Mahalingam) Narain,Dexcom; VoxelCloud,40,76,11699
National Institute of Technology Tiruchirappalli,Dr. Aarti S Bhatt,"NMAMIT, Nitte",20,27,1392
National Institute of Technology Tiruchirappalli,Aarti Gupta,"PhD Scholar, University of Nova Gorica",1,0,5
National Institute of Technology Tiruchirappalli,aarti Singh,Unknown affiliation,59,252,14194
National Institute of Technology Tiruchirappalli,Susheel Sriram Ananthan,Graduate,0,0,0
National Institute of Technology Tiruchirappalli,Aarti Ivanic,University of San Diego,6,6,206
National Institute of Technology Tiruchirappalli,Dr. Sandip T. Gadge,Aarti Industries Research and Technology Centre-Mahape,13,13,781
National Institute of Technology Tiruchirappalli,Dr. Wadilal R. Rathod,Dy. Manager-Project-Process l Aarti Pharmalabs Ltd. Tarapur,4,3,100
Indian Institute of Technology (Banaras Hindu University) Varanasi,Ankur Agarwal,Florida Atlantic University,43,196,9991
Indian Institute of Technology (Banaras Hindu University) Varanasi,Thakur Aseem Kumar,"Principal, K.N.S.G.P. Samastipur",19,65,4503
Indian Institute of Technology (Banaras Hindu University) Varanasi,Dr. Chittaranjan Pradhan,"Associate Professor, School of Computer Engineering, Kalinga Institute of Industrial Technology",21,44,1908
Indian Institute of Technology (Banaras Hindu University) Varanasi,Dilip Kumar Singh,"Dept of Physics, Birla Institute of Technology Mesra Ranchi",18,27,1463
Indian Institute of Technology (Banaras Hindu University) Varanasi,Dr. Kumar Harshvardhan,CSRI-NEIST,7,6,969
Indian Institute of Technology (Banaras Hindu University) Varanasi,Indranil Sen,Engineer,22,32,1868
Indian Institute of Technology (Banaras Hindu University) Varanasi,Kannan Subramanian,"Associate.Professor of Computer Applications, Bharath University",42,149,11389
Indian Institute of Technology (Banaras Hindu University) Varanasi,MANISH KUMAR,B.Tech student,121,1258,76179
Indian Institute of Technology (Banaras Hindu University) Varanasi,Dr. Narendra Kumar,Assistant Professor,61,435,19444
Indian Institute of Technology (Banaras Hindu University) Varanasi,Nidhi Pandey,Unknown affiliation,31,67,3565
Indian Institute of Technology (Banaras Hindu University) Varanasi,"Nikhil Gupta, FASM","New York University, Tandon School of Engineering",70,190,14548
Indian Institute of Technology (Banaras Hindu University) Varanasi,Prashant K. Bhattacharya,Former Professor: I.I.T.-Kanpur & Former Director: RG Inst. of Petroleum Technology,40,73,3571
Indian Institute of Technology (Banaras Hindu University) Varanasi,DR. PRABHAT KUMAR,Scientist,62,495,23011
Indian Institute of Technology (Banaras Hindu University) Varanasi,Pradipta Banerjee,University of Pittsburgh,15,21,1141
Indian Institute of Technology (Banaras Hindu University) Varanasi,Pritam Singh,"Professor of Economics, Oxford Brookes University, Oxford, UK",12,17,652
Indian Institute of Technology (Banaras Hindu University) Varanasi,Rajiv Agarwal,Indiana Univeristy,111,351,46294
Indian Institute of Technology (Banaras Hindu University) Varanasi,Rajiv Tiwari,"Department of Mechanical Engineering, Indian Institute of Technology Guwahati",42,112,5855
Indian Institute of Technology (Banaras Hindu University) Varanasi,Rajeev Nayan,Ph.D student at govind ballabh pant university of agriculture and technology,4,3,594
Indian Institute of Technology (Banaras Hindu University) Varanasi,RAVI PRAKASH JHA,"Biostatistician, Dept. of Community Medicine, Dr. BSA Medical College, Delhi",78,99,110451
Indian Institute of Technology (Banaras Hindu University) Varanasi,Ritesh Kumar Singh,Researcher at AKSW/KILT Research Group,30,121,5651
Indian Institute of Technology (Banaras Hindu University) Varanasi,Roshan Lal,Indian Institute of Technology Roorkee,26,53,1656
Indian Institute of Technology (Banaras Hindu University) Varanasi,Sachin Maheshwari,netaji subhas institute of technology,36,75,5270
Indian Institute of Technology (Banaras Hindu University) Varanasi,Sandeep Kumar,Ministry of Labour and Employment,128,1309,84496
Indian Institute of Technology (Banaras Hindu University) Varanasi,Sangeeta Sharma,"Freie university and Max Born Institute, Berlin",43,118,9167
Indian Institute of Technology (Banaras Hindu University) Varanasi,Professor Sanjay Sharma (Cardiology),Cardiology clinical and academic group. St George's University of London and St George's University,99,300,57254
Indian Institute of Technology (Banaras Hindu University) Varanasi,"Satish Chandra Pandey, Ph.D.","Center for Microbial Pathogenesis, Nationwide Children's Hospital, Columbus, Ohio, USA",19,25,1381
Indian Institute of Technology (Banaras Hindu University) Varanasi,Saurabh Kumar,student of B.TECH,91,832,43388
Indian Institute of Technology (Banaras Hindu University) Varanasi,Dr Saurabh Pandey,"Senior Pharmacokineticist, Syneos Health",19,26,2936
Indian Institute of Technology (Banaras Hindu University) Varanasi,Shantanu Singh,Broad Institute of MIT and Harvard,36,64,8740
Indian Institute of Technology (Banaras Hindu University) Varanasi,Shivam singh,"Automobile Engineering, Lovely Professional university",27,120,4259
Indian Institute of Technology (Banaras Hindu University) Varanasi,Subir Sarkar,"Professor of Physics, University of Oxford",144,427,180928
Indian Institute of Technology (Banaras Hindu University) Varanasi,Sujay Chattopadhyay,"Professor, JIS Institute of Advanced Studies & Research Kolkata",30,44,3596
Indian Institute of Technology (Banaras Hindu University) Varanasi,Umesh kumar,"NIT,JAMSHEDPUR",37,105,5517
Indian Institute of Technology (Banaras Hindu University) Varanasi,Vikash Kumar Pandey,Engineering,78,566,34592
Indian Institute of Technology (Banaras Hindu University) Varanasi,Vikas Kumar,Professor,108,1147,65650
Indian Institute of Technology (Banaras Hindu University) Varanasi,Vipin Tyagi,"Jaypee University of Engineering and Technology, Guna",28,56,2612
Indian Institute of Technology (Banaras Hindu University) Varanasi,Vishal SINGH,"engineer, sharda university",59,254,15038
Indian Institute of Technology (Banaras Hindu University) Varanasi,Vivek Gupta,SDE2 at Amazon,51,95,7990
Indian Institute of Technology (Banaras Hindu University) Varanasi,VIVEK KUMAR,STUDENT OF ENGINEERING,101,1051,77886
Indian Institute of Technology (Banaras Hindu University) Varanasi,YOGESH KUMAR,H.O.D. & Associate Professor at NandLal Prabhu Devi Barabanki Professional Institute,48,228,11754
Vellore Institute of Technology,Wang Aijun,"Chancellor's Fellow Professor of Surgery and Biomedical Engineering, University of California Davis",52,135,9717
Vellore Institute of Technology,Ajay Agarwal,"Professor of Electrical Engineering, IIT Jodhpur",36,82,6447
Vellore Institute of Technology,Ajit Singh,Professor Emeritus of economics at Cambridge University,63,388,23516
Vellore Institute of Technology,Amlan Chakrabarti,"Professor and Director, A.K.Choudhury School of Information Technology, University of",30,107,4535
Vellore Institute of Technology,Arun Kumar,Space Science,121,814,57906
Vellore Institute of Technology,Ashok Kumar Gupta,"Professor (HAG) , Dept. of Civil Engg., Ex. Head, School of Water Resources, IIT Kharagpur",61,144,14861
Vellore Institute of Technology,Shankar Balasubramanian,University of Cambridge,111,286,59203
Vellore Institute of Technology,Dileep K. Panda,Researcher,18,27,1657
Vellore Institute of Technology,Deepak Srivastava,"Ph.d Scholar Department Of Law Nehru Gram Bharti University, Prayag raj",115,275,57601
Vellore Institute of Technology,Joshua Paul,Unknown affiliation,29,36,4626
Vellore Institute of Technology,Madhu Menon,"Conn Center, University of Louisville and Adjunct Professor of Physics, University of Kentucky",57,145,13486
Vellore Institute of Technology,Maitrayee Bose,"Assistant Professor, Arizona State University",17,22,1049
Vellore Institute of Technology,Manaswini Dash,"Ph.D. Scholar, Siksha O Anusandhan Deemed to be University",5,4,69
Vellore Institute of Technology,Nandini Mukherjee,"Professor of Department of Computer Science and Engineering, Jadavpur University",21,65,2055
Vellore Institute of Technology,Neelam Sharma,MAIT,38,134,7292
Vellore Institute of Technology,Pradeep Kumar,Phd,116,1220,80829
Vellore Institute of Technology,Dr. Rajesh Kumar Nair,Asst.Professor -Sies College of Management Studies,99,1209,57665
Vellore Institute of Technology,Ramesh Babu P,Trinity College Dublin,34,57,5449
Vellore Institute of Technology,ramesh kumar,Adhiyamaan College of Engineering Hosur,76,598,28135
Vellore Institute of Technology,Velamati Ratna Kishore,Amrita Vishwa Vidyapeetham,30,47,3544
Vellore Institute of Technology,Ravikumar Balasubramanian,"Assistant Professor of Medicine, Harvard University",25,36,2381
Vellore Institute of Technology,Ripudaman Malhotra,"SRI International, retired",38,73,9494
Vellore Institute of Technology,Dr. Palaniappan Sakthivel,"SAI Life Sciences Ltd., Pune, India.",7,6,195
Vellore Institute of Technology,Sangram Singh,"Dr.RML Avadh University Faizabad,224001",34,156,6622
Vellore Institute of Technology,Dr. T.Satyanarayana Murthy,"Associate Professor, Chaitanya Bharathi Institute of Technology",12,18,410
Vellore Institute of Technology,Senthilkumar Balakrishnan,Tamil Nadu State Council for Science  and Technology,37,69,26735
Vellore Institute of Technology,Sharada Srinivasan,National Institute of Advanced Studies,17,30,975
Vellore Institute of Technology,SHEILA SHANKAR,University of Pennsylvania,2,1,114
Vellore Institute of Technology,Sivakumar Balasubramanian,"Department of Bioengineeing, Christian Medical College, Bagayam, Vellore 632002, Tamil Nadu, India",20,29,3061
Vellore Institute of Technology,Dr. Shubhra Agarwal,"Professor,Dept. of Obs. & Gyn.;TMMC & RC",9,8,328
Vellore Institute of Technology,Sidhartha Sinha,Assistant Professor of Medicine,18,21,1540
Vellore Institute of Technology,Dr. ARUMUGAM SRINIVASAN,"STO(2) & Assistant Professor AcSIR, CSIR-Central Leather Research Institute, Chennai",6,5,201
Vellore Institute of Technology,Sudha Rani,Pondicherry University,21,24,2554
Vellore Institute of Technology,sunitha nagrath,"Professor of Chemical Engineering, University of Michigan",43,69,16203
Vellore Institute of Technology,surekha katiyar-agarwal,University of Delhi South Campus,26,31,6691
Vellore Institute of Technology,"Prof. Suresh Sankaranarayanan, SMIEEE",King Faisal University,24,62,2420
Vellore Institute of Technology,Swarup Kumar Parida,"Scientist, National Institute of Plant Genome Research (NIPGR), New Delhi-67",47,107,6850
Vellore Institute of Technology,Swathi Srinivasan,"Alagappa University, Karaikudi",14,20,596
Vellore Institute of Technology,Tapan Kumar Saha,University of Queensland,74,459,25947
Vellore Institute of Technology,Ramya Thangarajan (Sashi),University of South Australia,12,14,4037
Vellore Institute of Technology,Tripti Singh,University of Wisconsin,22,36,2111
Vellore Institute of Technology,Suriya Uma Devi S,"Assistant Professor (Sl.G.) / Mathematics, KPR Institute of Engineering and Technology",21,26,2634
Vellore Institute of Technology,Varun Kulkarni,Harvard University,11,11,537
Vellore Institute of Technology,Veena Sharma,Professor,36,141,6348
Vellore Institute of Technology,Professor Ravipudi Venkata Rao,S. V. NATIONAL INSTITUTE OF TECHNOLOGY (An Institute of National Importance of Govt. of India),74,174,28290
Vellore Institute of Technology,Vipin Kumar,University of Minnesota,139,766,132190
Vellore Institute of Technology,Ashish Vora,Tesla,7,7,403
Jadavpur University,Anirban Chakraborti,"Professor, School of Computational and Integrative Sciences, Jawaharlal Nehru University",35,73,6959
Jadavpur University,Arindam Pal,Director of Data Science and Optimization,21,38,1270
Jadavpur University,Arunava Mukherjee,Saha Institute of Nuclear Physics,100,195,101651
Jadavpur University,Debashis Bhattacharyya,WEST BENGAL UNIVERSITY OF ANIMAL & FISHERY SCIENCES,9,9,420
Jadavpur University,"Indrajit Saha, PhD","Assistant Professor,  Department of Computer Science and Engineering",22,44,1979
Jadavpur University,Jayanta K. Ghosh,"Professor of Statistics, Purdue University",44,95,9690
Jadavpur University,jyotirmoy bhattacharya,"Assistant Professor, IIT Kharagpur, India.",17,20,2594
Jadavpur University,KAUSHIK SENGUPTA,SAHA INSTITUTE OF NUCLEAR PHYSICS,13,18,1861
Jadavpur University,Malay K Kundu,Indian Statistical Institute,37,109,6404
Jadavpur University,Partha Pratim Das,"Principal Investigator/ Lab head, BDI Monash University",26,44,7172
Jadavpur University,Pinaki Mazumder,"Professor of Computer Sciennce and Engineering, University of Michigan",44,146,13320
Jadavpur University,Ranjan Bhattacharyya,"Principal Scientist, IARI, New Delhi 110 012",55,138,9816
Jadavpur University,Santanu Bhattacharya,Professor,81,286,20749
Jadavpur University,Sreetama Chatterjee,Santosh Dental College and hospital,1,0,1
Jadavpur University,Soumyajit Mukherjee (Professor),"IIT Bombay; Series Editor: ""Developments in Structural Geology & Tectonics"" (Elsevier",40,106,5050
Jadavpur University,Sourav Pal,Unknown affiliation,67,528,24821
Jadavpur University,Sukumar Ghosh,"Professor Emeritus, Department of Computer Science, University of Iowa",25,40,3745
Jadavpur University,Swapan K. Ghosh,"UM-DAE-Centre for Excellence in Basic Science, University of Mumbai, India",54,409,18667
Jadavpur University,Tarun Kumar Bhattacharya,"Emeritus Scientist, Ex-Professor & Head, Dept. of Farm Machinery & Power Engineering, G B Pant",17,20,1245
Jadavpur University,Tuhin Das,Memorial Sloan Kettering Cancer Center,14,19,1509
Jadavpur University,Utpal Kumar De,"Professor of Economics, North-Eastern Hill University, Shillong",16,30,1137
Jadavpur University,Vishal Kumar,Assistant professor,73,427,22414
S.R.M. Institute of Science and Technology,Calin Valsan,Bishop's University and University of Bucharest,10,10,420
S.R.M. Institute of Science and Technology,NATARAJAN CHANDRASEKARAN,Formerly Director & Sr. Prof Centre for Nanobiotechnology Vellore Institute of Technology/VIT,74,303,21774
Indian Institute of Technology Indore,Abhinav Bhatele,"Associate Professor of Computer Science, University of Maryland, College Park",41,98,4990
Indian Institute of Technology Indore,Amit Verma,"Professor, Oncology, Albert Einstein College of Medicine, Montefiore Medical Center",104,730,46289
Indian Institute of Technology Indore,anand kumar,University of Manitoba,77,180,48991
Indian Institute of Technology Indore,Dr. Ashish Gupta,"I.T.S Engineering College, Greater Noida",60,372,20166
Indian Institute of Technology Indore,Ashok kumar,Sindh agriculture university tandojam,149,1551,119322
Indian Institute of Technology Indore,Dr. Atul yadav,Research Scholare,13,18,1493
Indian Institute of Technology Indore,Bhaveshkumar Bharatiya,Deutsches Elektronen Synchrotron (DESY),20,27,899
Indian Institute of Technology Indore,Bhupendra Gupta,"Associate Professor, Mechanical Engineering, Jabalpur Engineering College, Jabalpur, India",18,30,1886
Indian Institute of Technology Indore,Biswajit Das,"Research Associate, Case Western Reserve University",27,66,3158
Indian Institute of Technology Indore,Chandra Sekhar Pedamallu,"Current : Excelra; Previous : Sanofi, DFCI; HMS; Broad Inst.; NEB Inc.",53,78,58708
Indian Institute of Technology Indore,chhavi agarwal,Bhabha Atomic Research Centre,16,29,753
Indian Institute of Technology Indore,Deepti Gupta,"Professor of Textile, IIT Delhi",34,79,4794
Indian Institute of Technology Indore,Devender singh,Unknown affiliation,61,483,21595
Indian Institute of Technology Indore,Rajiv V Dubey,Professor of Mechanical Engineering,32,79,5129
Indian Institute of Technology Indore,Himanshu Sharma,"Postdoctoral Fellow, INFN Padova, Italy",57,125,9291
Indian Institute of Technology Indore,Indrajit Bhattacharya,Independent Colsultant,21,35,3190
Indian Institute of Technology Indore,Jayant Kumar,University of Massachusetts Lowell,70,339,25977
Indian Institute of Technology Indore,Kabeer Jasuja,Dr. Dinesh O. Shah Chair Associate Professor IIT Gandhinagar,19,26,1578
Indian Institute of Technology Indore,Karan Tripathi,"Institute of Criminology, University of Cambridge",0,0,0
Indian Institute of Technology Indore,Khushboo Gautam,"Research Scholar,Forensic Science",1,0,2
Indian Institute of Technology Indore,Linu Mathew,School of Biosciences Mahatma Gandhi university,14,19,822
Indian Institute of Technology Indore,Manu Agarwal,"Professor, Department of Botany, Univ. of Delhi",36,48,10731
Indian Institute of Technology Indore,Mohit Agarwal,Bennett Unversity,18,26,1934
Indian Institute of Technology Indore,monika thakur,"Assistant professor, RNTU",29,71,2814
Indian Institute of Technology Indore,Mukesh Kumar,Graphic Era deemed to be University,68,493,26231
Indian Institute of Technology Indore,Narasimhan Rajaram,"Associate Professor of Biomedical Engineering, University of Arkansas",28,46,2340
Indian Institute of Technology Indore,Niraj Tripathi,"Jawaharlal Nehru Krishi Vishwa Vidyalaya, Jabalpur, India",32,102,3688
Indian Institute of Technology Indore,Neha Nigam,University of Chicago,10,11,378
Indian Institute of Technology Indore,Nitin Pandey,"amity university noida,btech biotechnology",22,48,1621
Indian Institute of Technology Indore,"Pawan Sharma, Ph.D.","Lewis Katz School of Medicine, Temple University",33,62,13084
Indian Institute of Technology Indore,Puneet Gupta,Director at Volvic Technologies,44,167,8626
Indian Institute of Technology Indore,Rajesh Kumar,Assistant Professor,128,1195,141660
Indian Institute of Technology Indore,rishi kumar,cbse,32,94,3416
Indian Institute of Technology Indore,Rohit Kumar 2.0,https://www.youtube.com/@SRM_music925,65,530,22269
Indian Institute of Technology Indore,Sandhya Patel,"Assistant Professor of Physics, Dr. H.S. Gour Central University",4,2,104
Indian Institute of Technology Indore,Dr.Sanjeev Sharma,"HoD ECE, New Horizon College of Engineering",46,302,13148
Indian Institute of Technology Indore,satish kumar,Ph.D Research Scholar,135,1007,81334
Indian Institute of Technology Indore,Saurabh Gupta,University of Illinois Urbana-Champaign,39,51,15880
Indian Institute of Technology Indore,Shailesh kumar Mahato,"Student of electrical branch,GEC BHARUCH",69,394,20233
Indian Institute of Technology Indore,Shailendra Kumar Singh - Ph.d(Law),Executive Alumnus - IIM Lucknow & IIM Kashipur,60,314,16454
Indian Institute of Technology Indore,Dr. Shikha Mehta,Assistant Professor Kashi Naresh  Govt. P.G. college gyanpur bhadohi,15,15,1541
Indian Institute of Technology Indore,Shradha Gupta,"Faculty,  ICFAI Business School, Pune",5,4,525
Indian Institute of Technology Indore,shruti singh,"Research Scholar, Babasaheb Bhimrao Ambedkar University, Lucknow",37,174,7936
Indian Institute of Technology Indore,Sonal Gulati,"Assistant Professor, NDIM",2,1,23
Indian Institute of Technology Indore,Saumya Singh,student,25,79,4745
Indian Institute of Technology Indore,Archana Venkatachalam,"Dhanalakshmi Srinivasan University,Trichy",7,6,278
Indian Institute of Technology Indore,Sudhir Kumar,"Director, iGEM, Carnell Professor of Biology, Temple University",86,192,310009
Indian Institute of Technology Indore,Sunil Kumar,Health Fist,134,1417,90103
Indian Institute of Technology Indore,SURENDRA KUMAR,Unknown affiliation,75,411,21235
Indian Institute of Technology Indore,Danish Sayed,"Associate Professor, CVRI, Rutgers-New Jersey Medical School at Newark",17,21,5065
Indian Institute of Technology Indore,Tejaswini Mishra,"Research Scientist, Department of Genetics, Stanford University School of Medicine",22,27,8184
Indian Institute of Technology Indore,Vijay Kumar Kuchroo,vkuchroo@evergrande.hms.harvard.edu,171,446,138292
Indian Institute of Technology Indore,Vineet Pande,Johnson & Johnson,20,31,1348
Indian Institute of Technology Indore,Vinita Sharma,"Assistant Professor, MIET",28,90,3679
Indian Institute of Technology Indore,Vivek Tiwari,"Intel Corp, Princeton University",24,28,9128
Indian Institute of Technology Indore,Yogesh Sharma,"Associate Professor, People's Dental Academy",74,510,26214
"National Institute of Technology Karnataka, Surathkal",Anand Prabhu Subramanian,Infilect Technologies Private Limited,22,33,4383
"National Institute of Technology Karnataka, Surathkal",Ganesh Prasad Pokhariyal,"Professor of Mathematics, University of Nairobi",21,39,1788
"National Institute of Technology Karnataka, Surathkal",Ramesh Govindan,"Professor of Computer Science, University of Southern California",103,257,62890
"National Institute of Technology Karnataka, Surathkal",Manjunatha Hanumanthappa,Biochemistry Dept,22,42,2151
"National Institute of Technology Karnataka, Surathkal",Muthuvel Jayachandran,Mayo Clinic Rochester,38,74,15389
"National Institute of Technology Karnataka, Surathkal",Madhusudan Singh,"Associate Professor at Indian Institute of Technology, Delhi",19,19,5228
"National Institute of Technology Karnataka, Surathkal",K S Mahesh,"JSS Academy of Technical Education, Bangalore",1,1,22
"National Institute of Technology Karnataka, Surathkal",Manjunatha Kini,"Professor of Biological Sciences, National University of Singapore",78,256,20710
"National Institute of Technology Karnataka, Surathkal",Mohit Gupta,Website Developer,44,183,10133
"National Institute of Technology Karnataka, Surathkal",Naresh Kumar,student,106,906,54813
"National Institute of Technology Karnataka, Surathkal",niranjan chiplunkar,"Professor of Computer Science, NMAM Institute of Technology, Nitte",14,24,897
"National Institute of Technology Karnataka, Surathkal",Krishna M. Padmanabha Das,Dana Farber Cancer Institute/ Harvard Medical School,10,11,950
"National Institute of Technology Karnataka, Surathkal",Pandurangan Vijayanand,"Professor, La Jolla Institute for Immunology",46,69,8464
"National Institute of Technology Karnataka, Surathkal",K G Pradeep,"Indian Institute of Technology Madras, Chennai",38,62,11221
"National Institute of Technology Karnataka, Surathkal",Paras N. Prasad,"Institute for Lasers, Photonics and Biophotonics (ILPB), University at Buffalo",142,775,90308
"National Institute of Technology Karnataka, Surathkal",Ramesh S. Bhatt,University of Kentucky,39,75,4506
"National Institute of Technology Karnataka, Surathkal","Dr. RAMESH M - B.Pharma.;M.Pharma.;Ph.D. (MedChem); PDF, FRSC  [The Senior Scientist, ADME/Tox.-R&D]",UKZN-Durban;NIPER-Mohali&Rae bareli;Panjab/Punjabi University-Chandigarh/Patiala;MMC-Madurai[Prev.],57,494,21205
"National Institute of Technology Karnataka, Surathkal",RAVI PRAKASH JHA,"Biostatistician, Dept. of Community Medicine, Dr. BSA Medical College, Delhi",78,99,110451
"National Institute of Technology Karnataka, Surathkal",Roopa S Rao,Professor,29,79,3121
"National Institute of Technology Karnataka, Surathkal",Sachin Kumar Mangla,"O P Jindal Global University, India & University of Plymouth, UK",84,189,22617
"National Institute of Technology Karnataka, Surathkal",PAWAN KUMAR,Assistant professor of mathematics; sri sai college of engineering and technology,64,457,21927
"National Institute of Technology Karnataka, Surathkal",Sankara Narayanan TSN,"Research Professor, Department of Dental Biomaterials, Chonbuk National University, Jeonju, South",55,121,11049
"National Institute of Technology Karnataka, Surathkal",Santosh Kumar Divvala,"AI2, UW",29,84,64887
"National Institute of Technology Karnataka, Surathkal",Dr. Saravanan Muthupandian,"Professor - FAMS, UT, AMR and Nanomedicine",80,208,50701
